Name	Title	Series	Money	Description
BharatPe	BharatPe (108 M)	Series D	108000000.0	BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants
Deliverr	Deliverr (135 M)	Series D	135000000.0	Deliverr is a startup company that provides shipping services for e-commerce businesses.
Checkout.com	Checkout.com (450 M)	Series C	450000000.0	Checkout.com is an API-based platform providing online payment solutions that improve the user's checkout experience.
Weights & Biases	Weights & Biases (45 M)	Series B	45000000.0	Weights & Biases offers performance visualization tools for machine learning.
Linktree	Linktree (45 M)	Series B	45000000.0	Linktree is a company that provides a platform that makes users' online content more discoverable & easy to manage.
Sila Nanotechnologies	Sila Nanotechnologies (590 M)	Series F	590000000.0	Sila Nanotechnologies is a provider and manufacturer of higher energy density lithium-ion batteries for electric vehicles.
Melio	Melio (110 M)	Series C	110000000.0	Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables.
Sundayapp	Sundayapp (24 M)	Seed	24000000.0	Sundayapp is building the fastest, simplest, and cheapest way in the world to pay in restaurants.
Keep	Keep (360 M)	Series F	360000000.0	Keep is a mobile fitness community that offers a variety of training programs for different groups of people.
GoStudent	GoStudent (82 M)	Series B	82062055.0	GoStudent is a digital school connecting students to teachers in a virtual learning environment.
Blend	Blend (300 M)	Series G	300000000.0	Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.
M1 Finance	M1 Finance (75 M)	Series D	75000000.0	M1 Finance provides a free platform to enable people to manage and grow their money with control and automation.
Rivian	Rivian (2650 M)	Private Equity	2650000000.0	Rivian is an electric vehicle manufacturer that develops products and services to advance the shift to sustainable mobility.
Outschool	Outschool (75 M)	Series C	75000000.0	Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together.
Side	Side (150 M)	Series D	150000000.0	Side transforms real estate agents, teams, and independent brokerages into businesses and boutique brands.
Uplight	Uplight ( M)	Private Equity	nan	Uplight provides end-to-end customer-centric technology solutions.
Attentive	Attentive (470 M)	Series E	470000000.0	Attentive is a personalized mobile messaging platform for innovative brands and organizations.
Starburst Data	Starburst Data (100 M)	Series C	100000000.0	Starburst Data is a data access and analytics company developing an SQL query engine.
Flockjay	Flockjay (11 M)	Series A	11000000.0	Flockjay is an online academy that empowers job seekers with the tools and training they need to break into tech.
dcbel	dcbel (40 M)	Venture - Series Unknown	40000000.0	dcbel offers AI-driven sustainable technologies which enable people to leverage solar energy to power their cars, homes, and lifestyles.
Supplant	Supplant (15 M)	Series A	15000000.0	Supplant is a biotechnology platform that makes sugar substitutes.
Dapper Labs	Dapper Labs ( M)	Series C	nan	Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectables.
Guming	Guming ( M)	Seed	nan	Guming is a milk tea chain company.
